Index,Token,Price
161,KMD,0.26597752
162,KNC,0.795
163,KP3R,77.7
164,KSM,35.37
165,LAZIO,3.4812
166,LDO,2.199
167,LEVER,0.002327
168,LINA,0.007266
169,LIT,1
170,LOKA,0.7154
171,LOOM,0.0507
172,LPT,7.38
173,LRC,0.3482
174,LSK,0.917
175,LTO,0.0926
176,LUNA,2.0551
177,LUNC,0.00017149
178,MAGIC,1.3275
179,MANA,0.7493
180,MASK,4.341
181,MATIC,1.1095
182,MBL,0.003042
183,MBOX,0.548
184,MC,0.361
185,MDT,0.02879
186,MDX,0.0908
187,MINA,0.847
188,MKR,656
189,MLN,23.53
190,MOB,1.643
191,MOVR,8.39
192,MTL,0.911
193,NEAR,2.329
194,NEBL,1.607
195,NEO,8.18
196,NEXO,0.82
197,NKN,0.1033
198,NMR,16.48
199,NULS,0.2442
200,OCEAN,0.3494
201,OG,2.787
202,OGN,0.1257
203,OM,0.0364
204,OMG,1.401
205,ONE,0.02258
206,ONG,0.2937317
207,ONT,0.2071
208,OOKI,0.00387
209,OP,2.166
210,ORN,0.943
211,OSMO,0.976
212,OXT,0.0961
213,PAXG,1898
214,PEOPLE,0.02961
215,PERP,0.70688
216,PHA,0.154
217,PHB,0.9575
218,PLA,0.227
219,PNT,0.17031703
220,POLS,0.454
221,POLYX,0.1826
222,POND,0.01032
223,PORTO,3.031
224,POWR,0.1722
225,PROM,4.71
226,PROS,0.6247
227,PSG,6.41
228,PUNDIX,0.451
229,PYR,3.91
230,QI,0.00877
231,QNT,142
232,QTUM,2.694
233,QUICK,60.2
234,RAD,1.889
235,RARE,0.1491
236,REEF,0.003211
237,REI,0.0288
238,REN,0.083255
239,REQ,0.1087
240,RLC,1.72931645
241,RNDR,1.413
242,ROSE,0.05335
243,RPL,38.26
244,RSR,0.004238
245,RUNE,1.767
246,RVN,0.02822
247,SAND,0.73
248,SANTOS,5.75
249,SC,0.00308
250,SFP,0.5758
251,SHIB,0.00001181
252,SKL,0.03467
253,SLP,0.00305
254,SNM,0.9919
255,SNX,2.303
256,SPELL,0.0007916
257,STG,0.6102
258,STMX,0.005457
259,STORJ,0.3605
260,STPT,0.04018
261,STRAX,0.562
262,STX,0.276
263,SUN,0.00597
264,SUPER,0.1231
265,SUSHI,1.265
266,SXP,0.2834
267,SYS,0.1629
268,T,0.04964
269,TFUEL,0.0548
270,THETA,1.025
271,TKO,0.3367
272,TLM,0.02126
273,TOMO,0.375
274,TRB,15.47
275,TROY,0.003032
276,TRU,0.0395497
277,TRX,0.06219
278,TVK,0.0444
279,TWT,1.6602
280,UMA,2.043
281,UNFI,5.575
282,UNI,6.559
283,USTC,0.02487
284,UTK,0.0976
285,VET,0.02313
286,VIB,0.09038
287,VITE,0.02402
288,VOXEL,0.2905
289,VTHO,0.00112811
290,WAN,0.21275129
291,WAVES,2.48
292,WAXP,0.0676
293,WIN,0.0000914
294,WING,7.63
295,WNXM,16.92169217
296,WOO,0.1797
297,WRX,0.1932
298,WTC,0.23151608
299,XEC,0.0000358
300,XEM,0.0370037
301,XLM,0.0907
302,XMR,177.6
303,XTZ,1.057
304,XVG,0.0031
305,XVS,5.17
306,YFI,7229
307,YGG,0.3047
308,ZEC,45.2
309,ZEN,10.12
310,ZIL,0.02693
311,ZRX,0.2164
